Description,Count
MT1; GradWarp; N3m,5489
MPR; GradWarp,3848
MPR-R; GradWarp,3763
MPR; GradWarp; B1 Correction; Mask,3226
MPR; GradWarp; B1 Correction; N3,3187
MPR; GradWarp; B1 Correction,3184
MPR-R; GradWarp; B1 Correction; N3,3098
MPR-R; GradWarp; B1 Correction,3093
MPR-R; GradWarp; B1 Correction; Mask,3086
MPR; GradWarp; B1 Correction; N3; Scaled,2495
MT1; N3m,2158
MPR; ; Mask,900
MPR; ; N3,878
MPR; GradWarp; Mask,689
MPR-R; GradWarp; N3,679
MPR-R; GradWarp; Mask,678
MPR; GradWarp; N3,674
MPR-R; GradWarp; B1 Correction; N3; Scaled,616
MPR; ; N3; Scaled,555
MPR; GradWarp; N3; Scaled,506
MPR-R; ; Mask,361
MPR-R; ; N3,361
MPR; GradWarp; B1 Correction; N3; Scaled_2,253
MPR; ; N3; Scaled_2,192
MPR-R; GradWarp; N3; Scaled,151
HarP 135 final release 2015,106
HHP 6 DOF AC-PC registered MPRAGE,105
MPR-R; GradWarp; B1 Correction; N3; Scaled_2,82
MPR-R; ; N3; Scaled,61
MPR; GradWarp; N3; Scaled_2,59
MPR-R; ; N3; Scaled_2,25
MPR-R; GradWarp; N3; Scaled_2,20
MPR; ; N3; Scaled; No phantom for scaling,1
